Invoice ID,Tanggal,Customer type,Gender,Product line,Quantity,Total
651-88-7328,1/1/2019 13:55,Normal,Female,Fashion accessories,9,621.243
765-26-6951,1/1/2019 10:39,Normal,Male,Sports and travel,6,457.443
182-52-7000,1/1/2019 20:26,Member,Female,Sports and travel,4,113.568
530-90-9855,1/1/2019 14:47,Member,Male,Home and lifestyle,8,399.756
416-17-9926,1/1/2019 14:42,Member,Female,Electronic accessories,10,779.31
665-32-9167,1/10/2019 17:15,Member,Female,Health and beauty,2,76.146
873-51-0671,1/10/2019 16:42,Member,Female,Sports and travel,7,161.553
744-02-5987,1/10/2019 14:16,Member,Male,Home and lifestyle,6,493.794
130-67-4723,1/11/2019 13:57,Member,Male,Food and beverages,6,305.55
406-46-7107,1/11/2019 11:52,Normal,Female,Home and lifestyle,6,608.076
732-67-5346,1/11/2019 19:07,Normal,Male,Food and beverages,5,72.3975
478-06-7835,1/11/2019 11:20,Normal,Male,Fashion accessories,1,94.1745
540-11-4336,1/11/2019 16:49,Normal,Male,Food and beverages,9,235.683
289-15-7034,1/11/2019 10:37,Member,Male,Sports and travel,4,345.786
704-48-3927,1/12/2019 14:50,Member,Male,Electronic accessories,10,931.035
381-20-0914,1/12/2019 15:48,Member,Female,Fashion accessories,9,189.0945
647-50-1224,1/12/2019 16:23,Normal,Female,Fashion accessories,10,308.91
397-25-8725,1/13/2019 17:54,Member,Female,Health and beauty,9,374.409
459-50-7686,1/13/2019 19:14,Normal,Female,Electronic accessories,6,147.798
195-06-0432,1/13/2019 12:55,Member,Male,Home and lifestyle,3,255.1815
460-93-5834,1/13/2019 10:03,Normal,Male,Sports and travel,7,335.013
588-47-8641,1/14/2019 19:30,Member,Male,Fashion accessories,10,588.42
667-23-5919,1/14/2019 12:52,Member,Female,Fashion accessories,5,507.675
138-17-5109,1/15/2019 15:42,Member,Female,Home and lifestyle,9,843.0345
886-54-6089,1/15/2019 17:24,Normal,Female,Home and lifestyle,6,72.009
589-02-8023,1/15/2019 10:54,Member,Male,Food and beverages,2,175.917
301-11-9629,1/15/2019 10:43,Normal,Female,Sports and travel,7,140.385
272-65-1806,1/15/2019 17:17,Normal,Female,Electronic accessories,9,575.316
648-83-1321,1/16/2019 17:59,Member,Male,Home and lifestyle,10,667.38
618-34-8551,1/16/2019 18:41,Normal,Female,Sports and travel,2,195.678
497-37-6538,1/17/2019 15:15,Normal,Male,Sports and travel,7,432.9885
445-30-9252,1/17/2019 17:59,Normal,Male,Sports and travel,3,80.955
698-98-5964,1/17/2019 13:01,Normal,Female,Food and beverages,10,852.705
746-54-5508,1/17/2019 12:48,Normal,Male,Home and lifestyle,6,135.576
700-81-1757,1/18/2019 20:59,Normal,Female,Electronic accessories,5,138.1275
166-19-2553,1/18/2019 17:26,Member,Male,Sports and travel,6,561.078
562-12-5430,1/18/2019 10:11,Member,Female,Fashion accessories,3,277.6725
