Invoice ID,Tanggal,Customer type,Gender,Product line,Quantity,Total
746-04-1077,1/1/2019 11:36,Member,Female,Food and beverages,10,888.615
891-01-7034,1/1/2019 19:07,Normal,Female,Electronic accessories,6,470.673
770-42-8960,1/1/2019 19:31,Normal,Male,Food and beverages,8,177.408
226-34-0034,1/10/2019 11:10,Normal,Female,Electronic accessories,4,57.876
241-11-2261,1/10/2019 10:33,Normal,Female,Fashion accessories,7,586.971
640-49-2076,1/10/2019 14:49,Normal,Male,Sports and travel,8,703.752
751-15-6198,1/12/2019 16:45,Normal,Male,Sports and travel,6,144.963
848-07-1692,1/12/2019 17:13,Normal,Female,Health and beauty,2,120.162
852-62-7105,1/12/2019 11:25,Normal,Female,Fashion accessories,10,874.125
296-11-7041,1/12/2019 20:07,Member,Female,Health and beauty,1,28.4235
533-66-5566,1/12/2019 11:42,Normal,Female,Home and lifestyle,7,375.3645
197-77-7132,1/12/2019 18:22,Member,Male,Electronic accessories,8,769.104
327-40-9673,1/13/2019 19:51,Member,Male,Sports and travel,6,457.38
355-34-6244,1/13/2019 19:55,Normal,Male,Food and beverages,2,152.019
339-38-9982,1/13/2019 14:55,Member,Male,Fashion accessories,2,125.706
868-52-7573,1/14/2019 12:09,Normal,Female,Food and beverages,5,523.3725
559-61-5987,1/14/2019 10:38,Normal,Female,Health and beauty,1,18.6375
359-90-3665,1/14/2019 18:03,Member,Female,Fashion accessories,4,75.936
785-13-7708,1/14/2019 19:06,Normal,Male,Food and beverages,7,536.991
320-85-2052,1/14/2019 10:11,Normal,Female,Sports and travel,1,36.5505
744-16-7898,1/15/2019 13:48,Normal,Female,Home and lifestyle,10,1022.385
437-58-8131,1/15/2019 13:41,Normal,Female,Fashion accessories,2,154.392
188-55-0967,1/15/2019 15:01,Member,Male,Health and beauty,10,697.935
369-82-2676,1/15/2019 18:22,Normal,Male,Electronic accessories,5,397.215
299-46-1805,1/15/2019 16:19,Member,Female,Sports and travel,6,590.436
286-62-6248,1/16/2019 20:03,Normal,Male,Fashion accessories,4,164.682
659-65-8956,1/16/2019 15:26,Member,Male,Fashion accessories,1,53.928
347-72-6115,1/16/2019 18:03,Member,Female,Sports and travel,7,666.939
670-79-6321,1/17/2019 15:27,Member,Female,Home and lifestyle,7,695.2365
280-35-5823,1/17/2019 18:45,Member,Female,Home and lifestyle,1,91.056
349-97-8902,1/17/2019 10:37,Member,Male,Food and beverages,2,121.569
679-22-6530,1/17/2019 10:01,Normal,Female,Sports and travel,2,85.302
414-12-7047,1/18/2019 12:04,Normal,Male,Food and beverages,8,166.236
821-14-9046,1/18/2019 15:04,Member,Female,Fashion accessories,6,110.124
608-27-6295,1/19/2019 17:34,Member,Male,Electronic accessories,6,333.207
375-72-3056,1/19/2019 15:58,Normal,Male,Sports and travel,3,198.639
761-49-0439,1/19/2019 10:17,Member,Female,Electronic accessories,8,101.64
670-71-7306,1/2/2019 20:08,Normal,Male,Sports and travel,6,281.169
744-09-5786,1/2/2019 18:50,Normal,Male,Electronic accessories,6,138.663
244-08-0162,1/2/2019 13:00,Normal,Female,Health and beauty,10,359.205
198-84-7132,1/2/2019 13:40,Member,Male,Fashion accessories,9,383.7645
356-44-8813,1/20/2019 13:45,Normal,Male,Home and lifestyle,3,118.062
378-24-2715,1/20/2019 20:38,Normal,Male,Home and lifestyle,2,112.224
401-18-8016,1/21/2019 17:36,Member,Female,Sports and travel,1,103.0365
563-47-4072,1/22/2019 11:52,Normal,Female,Health and beauty,6,351.603
120-54-2248,1/22/2019 18:08,Normal,Female,Food and beverages,5,151.515
602-16-6955,1/24/2019 18:10,Normal,Female,Sports and travel,10,804.3
