Invoice ID,Tanggal,Customer type,Gender,Product line,Quantity,Total
556-97-7101,1/1/2019 15:51,Normal,Female,Electronic accessories,2,132.762
493-65-6248,1/1/2019 19:48,Member,Female,Sports and travel,10,388.29
133-14-7229,1/1/2019 11:43,Normal,Male,Health and beauty,2,132.027
271-77-8740,1/1/2019 11:40,Member,Female,Sports and travel,6,184.086
887-42-0517,1/10/2019 10:31,Normal,Female,Sports and travel,7,611.079
603-07-0961,1/10/2019 11:34,Member,Male,Electronic accessories,5,392.6475
577-34-7579,1/10/2019 17:16,Member,Male,Food and beverages,9,477.1305
592-46-1692,1/11/2019 20:10,Member,Female,Food and beverages,7,270.2595
746-68-6593,1/11/2019 14:29,Member,Female,Sports and travel,2,183.036
659-36-1684,1/12/2019 12:02,Member,Male,Sports and travel,7,419.832
751-41-9720,1/12/2019 16:18,Normal,Male,Home and lifestyle,10,1023.75
732-94-0499,1/13/2019 17:04,Normal,Female,Electronic accessories,10,437.325
556-86-3144,1/13/2019 19:30,Member,Female,Fashion accessories,1,78.0045
784-08-0310,1/13/2019 13:58,Member,Female,Food and beverages,4,88.368
377-79-7592,1/14/2019 14:00,Member,Female,Electronic accessories,9,423.738
592-34-6155,1/14/2019 14:43,Normal,Male,Food and beverages,4,133.434
704-10-4056,1/14/2019 10:55,Member,Male,Health and beauty,3,190.4805
426-39-2418,1/14/2019 10:02,Normal,Male,Electronic accessories,7,451.3635
451-73-2711,1/14/2019 15:20,Normal,Male,Food and beverages,1,89.0715
658-66-3967,1/14/2019 15:42,Normal,Male,Health and beauty,7,390.9465
660-29-7083,1/15/2019 15:01,Normal,Male,Electronic accessories,10,586.635
314-23-4520,1/15/2019 20:44,Member,Male,Health and beauty,7,597.0405
450-28-2866,1/15/2019 19:25,Member,Male,Food and beverages,5,91.56
842-29-4695,1/16/2019 12:07,Member,Male,Sports and travel,7,125.979
677-11-0152,1/16/2019 18:08,Normal,Female,Food and beverages,9,881.307
372-62-5264,1/16/2019 14:42,Normal,Female,Food and beverages,9,497.07
859-71-0933,1/16/2019 15:10,Member,Female,Sports and travel,2,32.529
234-65-2137,1/16/2019 13:32,Normal,Male,Home and lifestyle,10,1003.59
101-81-4070,1/17/2019 12:36,Member,Female,Health and beauty,2,131.922
200-16-5952,1/17/2019 16:46,Member,Male,Food and beverages,2,137.865
600-38-9738,1/17/2019 15:05,Member,Male,Sports and travel,5,377.58
678-79-0726,1/18/2019 15:28,Member,Female,Sports and travel,9,856.4535
622-20-1945,1/18/2019 15:08,Normal,Female,Health and beauty,1,41.391
781-84-8059,1/18/2019 16:23,Normal,Male,Fashion accessories,7,446.439
284-54-4231,1/19/2019 16:08,Member,Male,Sports and travel,1,84.9765
728-47-9078,1/19/2019 12:46,Member,Male,Food and beverages,4,250.278
779-06-0012,1/19/2019 10:21,Member,Female,Home and lifestyle,1,93.0405
894-41-5205,1/19/2019 19:39,Normal,Female,Food and beverages,8,362.712
151-27-8496,1/19/2019 11:43,Normal,Female,Electronic accessories,4,235.746
446-47-6729,1/2/2019 18:09,Normal,Male,Fashion accessories,2,209.622
345-68-9016,1/2/2019 16:19,Member,Female,Sports and travel,8,266.028
257-73-1380,1/20/2019 16:51,Member,Male,Sports and travel,4,348.306
725-96-3778,1/20/2019 10:13,Member,Female,Home and lifestyle,8,749.7
458-10-8612,1/20/2019 12:27,Normal,Male,Health and beauty,7,470.988
760-27-5490,1/20/2019 20:37,Normal,Male,Fashion accessories,8,131.208
870-72-4431,1/21/2019 14:42,Normal,Female,Health and beauty,6,624.897
162-65-8559,1/21/2019 20:13,Member,Male,Food and beverages,1,72.429
521-18-7827,1/22/2019 20:46,Member,Male,Home and lifestyle,5,206.7975
756-01-7507,1/22/2019 18:56,Normal,Female,Health and beauty,5,106.995
186-09-3669,1/22/2019 10:57,Member,Female,Health and beauty,1,85.5855
219-61-4139,1/23/2019 17:16,Normal,Male,Electronic accessories,1,87.234
767-05-1286,1/23/2019 12:10,Member,Female,Home and lifestyle,6,527.751
434-83-9547,1/23/2019 11:51,Member,Male,Food and beverages,8,323.148
731-81-9469,1/23/2019 13:00,Member,Female,Sports and travel,10,942.9
790-38-4466,1/23/2019 10:18,Normal,Female,Health and beauty,5,57.6975
148-41-7930,1/23/2019 10:33,Normal,Male,Health and beauty,7,734.706
740-22-2500,1/23/2019 13:29,Normal,Female,Electronic accessories,3,264.7575
480-63-2856,1/23/2019 18:37,Normal,Male,Food and beverages,8,161.7
565-80-5980,1/23/2019 10:25,Member,Female,Home and lifestyle,4,198.996
477-59-2456,1/23/2019 11:15,Normal,Female,Fashion accessories,7,333.984
443-60-9639,1/24/2019 13:24,Member,Female,Home and lifestyle,1,63.9135
235-06-8510,1/24/2019 20:59,Member,Male,Home and lifestyle,3,270.018
824-88-3614,1/25/2019 15:00,Normal,Male,Health and beauty,8,288.204
288-38-3758,1/25/2019 18:30,Member,Female,Fashion accessories,3,267.3405
778-71-5554,1/25/2019 15:46,Member,Male,Fashion accessories,1,16.2015
280-17-4359,1/25/2019 13:48,Member,Male,Health and beauty,10,950.25
394-55-6384,1/25/2019 13:38,Member,Female,Sports and travel,9,663.2955
176-78-1170,1/26/2019 15:11,Member,Male,Health and beauty,3,106.5015
225-32-0908,1/26/2019 19:54,Normal,Female,Sports and travel,10,471.03
881-41-7302,1/26/2019 10:06,Normal,Female,Fashion accessories,1,68.2395
258-69-7810,1/26/2019 18:53,Normal,Female,Fashion accessories,5,193.4625
862-59-8517,1/27/2019 11:17,Normal,Female,Food and beverages,6,568.512
613-59-9758,1/27/2019 14:28,Normal,Female,Sports and travel,10,150.78
394-41-0748,1/27/2019 14:55,Member,Female,Fashion accessories,9,510.9615
788-07-8452,1/27/2019 17:38,Member,Female,Home and lifestyle,7,178.164
620-02-2046,1/27/2019 19:48,Normal,Male,Home and lifestyle,2,145.74
325-90-8763,1/27/2019 13:58,Member,Female,Electronic accessories,10,488.985
372-26-1506,1/28/2019 19:24,Normal,Female,Fashion accessories,5,125.055
243-47-2663,1/28/2019 16:43,Member,Male,Electronic accessories,6,118.251
400-89-4171,1/28/2019 13:05,Normal,Female,Sports and travel,8,680.148
342-65-4817,1/28/2019 16:47,Member,Male,Health and beauty,3,273.42
593-65-1552,1/28/2019 20:50,Normal,Female,Home and lifestyle,4,293.202
211-30-9270,1/28/2019 15:16,Normal,Male,Health and beauty,5,91.4025
233-67-5758,1/29/2019 13:46,Normal,Male,Health and beauty,1,42.3675
137-63-5492,1/29/2019 14:26,Normal,Male,Electronic accessories,10,616.98
606-80-4905,1/29/2019 10:01,Member,Female,Sports and travel,6,120.645
